CAPEC ID,CAPEC Name,Abstraction,Status,Description,Likelihood of Attack,Typical Severity,Execution Flow,Prerequisites,Skills Required,Resources Required,Indicators,Consequences,Mitigations,Example Instances
398,Magnetic Strip Card Brute Force Attacks,Detailed,Draft,An adversary analyzes the data on two or more magnetic strip cards and is able to generate new cards containing valid sequences that allow unauthorized access and/or impersonation of individuals.,,,,"The ability to calculate a card checksum and write out a valid checksum value. Some cards are protected by a checksum calculation, therefore it is necessary to determine what algorithm is being used to calculate the checksum and to employ that algorithm t",,,,,,
399,Cloning RFID Cards or Chips,Detailed,Draft,"An attacker analyzes data returned by an RFID chip and uses this information to duplicate a RFID signal that responds identically to the target chip. In some cases RFID chips are used for building access control, employee identification, or as markers on ",,,,,,,,,,
400,RFID Chip Deactivation or Destruction,Detailed,Draft,"An attacker uses methods to deactivate a passive RFID tag for the purpose of rendering the tag, badge, card, or object containing the tag unresponsive. RFID tags are used primarily for access control, inventory, or anti-theft devices. The purpose of attac",,,,,,,,,,
401,Physically Hacking Hardware,Standard,Stable,An adversary exploits a weakness in access control to gain access to currently installed hardware and precedes to implement changes or secretly replace a hardware component which undermines the system's integrity for the purpose of carrying out an attack.,Low,High,,,,,,,,A malicious subcontractor or subcontractor's employee that is responsible for system maintenance secretly replaces a hard drive with one containing malicious code that will allow for backdoor access once deployed.
402,Bypassing ATA Password Security,Detailed,Draft,An adversary exploits a weakness in ATA security on a drive to gain access to the information the drive contains without supplying the proper credentials. ATA Security is often employed to protect hard disk information from unauthorized access. The mechan,,,,Access to the system containing the ATA Drive so that the drive can be physically removed from the system.,,,,,Avoid using ATA password security when possible. Use full disk encryption to protect the entire contents of the drive or sensitive partitions on the drive. Leverage third-party utilities that interface with self-encrypting drives (SEDs) to provide authent,The A-FF Repair Station tool is a data recovery utility that can be used for ATA password removal (both High and Maximum level) and firmware area recovery. An adversary with access to this tool could reset the ATA password to bypass this security feature 
406,Dumpster Diving,Detailed,Stable,"An adversary cases an establishment and searches through trash bins, dumpsters, or areas where company information may have been accidentally discarded for information items which may be useful to the dumpster diver. The devastating nature of the items an",,Low,,An adversary must have physical access to the dumpster or downstream processing facility.,,,,SCOPE:Confidentiality:TECHNICAL IMPACT:Other:NOTE:Documents and materials improperly disposed of can lead to information disclosure if an adversary comes across it.,,
407,Pretexting,Standard,Draft,"An adversary engages in pretexting behavior to solicit information from target persons, or manipulate the target into performing some action that serves the adversary's interests. During a pretexting attack, the adversary creates an invented scenario, ass",Medium,Low,,The adversary must have the means and knowledge of how to communicate with the target in some manner.The adversary must have knowledge of the pretext that would influence the actions of the specific target.,SKILL:The adversary requires strong inter-personal and communication skills.:LEVEL:Low,,,"SCOPE:Confidentiality:TECHNICAL IMPACT:Other:NOTE:Depending on the adversary's intentions and the specific nature their actions/requests, a successful pretexting attack can result in the compromise to the confidentiality of sensitive information in a vari","An organization should provide regular, robust cybersecurity training to its employees to prevent successful social engineering attacks.","The adversary dresses up like a jogger and runs in place by the entrance of a building, pretending to look for their access card. Because the hood obscures their face, it may be possible to solicit someone inside the building to let them inside."
410,Information Elicitation,Meta,Draft,"An adversary engages an individual using any combination of social engineering methods for the purpose of extracting information. Accurate contextual and environmental queues, such as knowing important information about the target company or individual ca",,Low,,,,,,,,
412,Pretexting via Customer Service,Detailed,Draft,"An adversary engages in pretexting behavior, assuming the role of someone who works for Customer Service, to solicit information from target persons, or manipulate the target into performing an action that serves the adversary's interests. One example of ",,Low,,,,,,,,
413,Pretexting via Tech Support,Detailed,Draft,"An adversary engages in pretexting behavior, assuming the role of a tech support worker, to solicit information from target persons, or manipulate the target into performing an action that serves the adversary's interests. An adversary who uses social eng",,Low,,,,,,,,
414,Pretexting via Delivery Person,Detailed,Draft,"An adversary engages in pretexting behavior, assuming the role of a delivery person, to solicit information from target persons, or manipulate the target into performing an action that serves the adversary's interests. Impersonating a delivery person is a",,Low,,,,,,,,
415,Pretexting via Phone,Detailed,Draft,"An adversary engages in pretexting behavior, assuming some sort of trusted role, and contacting the targeted individual or organization via phone to solicit information from target persons, or manipulate the target into performing an action that serves th",,Low,,,,,,,,
416,Manipulate Human Behavior,Meta,Stable,An adversary exploits inherent human psychological predisposition to influence a targeted individual or group to solicit information or manipulate the target into performing an action that serves the adversary's interests. Many interpersonal social engine,Medium,Medium,,The adversary must have the means and knowledge of how to communicate with the target in some manner.,,,,"SCOPE:Confidentiality:SCOPE:Integrity:SCOPE:Availability:TECHNICAL IMPACT:Other:NOTE:Attack patterns that manipulate human behavior can result in a wide variety of consequences and potentially affect the confidentiality, availability, and/or integrity of ","An organization should provide regular, robust cybersecurity training to its employees to prevent successful social engineering attacks.",
417,Influence Perception,Standard,Stable,The adversary uses social engineering to exploit the target's perception of the relationship between the adversary and themselves. This goal is to persuade the target to unknowingly perform an action or divulge information that is advantageous to the adve,High,Low,,The adversary must have the means and knowledge of how to communicate with the target in some manner.,SKILL:The adversary requires strong inter-personal and communication skills.:LEVEL:Low,There are no necessary resources required for this attack.,,"SCOPE:Confidentiality:SCOPE:Integrity:SCOPE:Availability:TECHNICAL IMPACT:Other:NOTE:Attacks that influence the perception of the target can result in a wide variety of consequences and negatively affect potentially the confidentiality, availability, and/","An organization should provide regular, robust cybersecurity training to its employees to prevent social engineering attacks.",
418,Influence Perception of Reciprocation,Detailed,Draft,An adversary uses a social engineering techniques to produce a sense of obligation in the target to perform a certain action or concede some sensitive or key piece of information. Obligation has to do with actions one feels they need to take due to some s,Medium,Medium,,The adversary must have the means and knowledge of how to communicate with the target in some manner.,SKILL:The adversary requires strong inter-personal and communication skills.:LEVEL:Low,None: No specialized resources are required to execute this type of attack.,,"SCOPE:Confidentiality:SCOPE:Integrity:SCOPE:Availability:TECHNICAL IMPACT:Other:NOTE:Attacks that influence the perception of the target can result in a wide variety of consequences and negatively affect potentially the confidentiality, availability, and/","An organization should provide regular, robust cybersecurity training to its employees to prevent social engineering attacks.",An adversary develops a relationship with the target to foster a feeling of obligation in them to perform a certain action or concede some information. A perception of obligation/concession means that the target feels they need to behave in some way or pe
